state,district,year,serial_no,rape,assault_women,insult_modesty,importation_girls,total_crimes,immoral_traffic,procuration_minor_girls,human_trafficking,assault_women_above18,assault_women_below18,insult_modesty_above18,insult_modesty_below18,cyber_explicit_material,other_women_cyber_crimes,total_community_crimes,source_dataset,year_year,state_name_state_name,state_code_state_code,district_name_district_name,district_code_district_code,registration_circles_registration_circles,rape_rape,assault_on_women_assault_on_women,insult_to_the_modesty_of_women_insult_to_the_modesty_of_women,importation_of_girls_from_foreign_importation_of_girls_from_foreign,immoral_traffic_prevention_immoral_traffic_prevention,human_trafficking_human_trafficking
ANDHRA PRADESH,ADILABAD,2010.0,15.0,48.0,133.0,155.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,ANANTAPUR,2010.0,15.0,20.0,132.0,35.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CHITTOOR,2010.0,15.0,44.0,136.0,121.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CUDDAPAH,2010.0,15.0,39.0,137.0,45.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CYBERABAD,2010.0,15.0,95.0,157.0,1257.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,EAST GODAVARI,2010.0,15.0,66.0,193.0,188.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,GUNTAKAL RLY.,2010.0,15.0,0.0,2.0,2.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,GUNTUR,2010.0,15.0,38.0,282.0,409.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,GUNTUR URBAN,2010.0,15.0,12.0,48.0,54.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,HYDERABAD CITY,2010.0,15.0,45.0,171.0,60.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KARIMNAGAR,2010.0,15.0,65.0,237.0,241.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KHAMMAM,2010.0,15.0,62.0,147.0,129.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KRISHNA,2010.0,15.0,54.0,300.0,149.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KURNOOL,2010.0,15.0,49.0,347.0,268.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,MAHABOOBNAGAR,2010.0,15.0,89.0,174.0,78.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,MEDAK,2010.0,15.0,49.0,103.0,95.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NALGONDA,2010.0,15.0,68.0,195.0,192.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NELLORE,2010.0,15.0,28.0,176.0,119.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NIZAMABAD,2010.0,15.0,62.0,114.0,75.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,PRAKASHAM,2010.0,15.0,29.0,253.0,32.0,0.0,281.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,112.0,Dataset_5,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
